"Id","ProfileType","Category","Attribute","ObisCode","IsValidated","AttributeIndex"
"cf3b8b5c-1e5c-4578-9e26-a936c2545d49","1","CT","BPhaseRelayStatus","0.0.96.3.135.255","0","2"
"292923bb-8196-4771-9324-f791ff27fcb8","1","CT","BPhaseVoltage","1.0.72.7.0.255","1","2"
"719a6847-56ae-4318-aebf-465a522a2fb2","1","CT","CumulativeEnergyKvahExport","1.0.10.8.0.255","1","2"
"ea068409-6640-48f0-aef0-9aecf946c9c4","1","CT","CumulativeEnergyKvahImport","1.0.9.8.0.255","1","2"
"2d06d43c-c94b-4dd4-b9ed-8cfa2aea7e0c","1","CT","CumulativeEnergyKwhExport","1.0.2.8.0.255","1","2"
"6a4fca1e-43f9-4d0c-99d3-09adcf7a0336","1","CT","CumulativeEnergyKwhImport","1.0.1.8.0.255","1","2"
"e5071ac6-ddb3-493c-802f-fff904b462dc","1","CT","CumulativeFundamentalKwhExport","1.0.240.8.0.255","0","2"
"01106ad1-dd84-44c8-b891-83d708845445","1","CT","CumulativeFundamentalKwhImport","1.0.1.9.1.255","0","2"
"0eb8825c-8fe4-464c-9b6e-389651a1ba8b","1","CT","CumulativePowerOffDurationInMin","0.0.94.91.8.255","1","2"
"be0ea0eb-a2ff-4506-a481-ead741ffb0b6","1","CT","CumulativePowerOnDurationInMin","0.0.94.91.14.255","0","2"
"f120abc6-d509-4486-aac3-82e294c75700","1","CT","CumulativeProgrammingCount","0.0.96.2.0.255","1","2"
"acccdf74-d1ff-49c0-8ea9-612d651c7860","1","CT","CumulativeTemperCount","0.0.94.91.0.255","1","2"
"150ebdff-1606-41a5-af35-c3bd4e0e9112","1","CT","LoadLimitFunctionStatus","0.0.96.3.10.255","0","2"
"4a89b9c0-e0cc-443c-8676-f903fcd85283","1","CT","LoadLimitValueKw","0.0.17.0.0.255","0","3"
"caf685da-9de4-4c55-aa91-c0ca05f1382d","1","CT","MaximumDemandKva","1.0.9.6.0.255","1","2"
"5f732f28-363a-4234-ba29-fd7f4b99df11","1","CT","MaximumDemandKvaDateTime","1.0.9.6.0.255","1","5"
"f3fb0f60-6427-4b36-aba2-52cb8f2fcb3a","1","CT","MaximumDemandKw","1.0.1.6.0.255","1","2"
"e4113ab4-4f7c-4120-80d7-40a6cb9534ed","1","CT","MaximumDemandKwDateTime","1.0.1.6.0.255","1","5"
"d47b23fd-01b1-490c-98c2-4fdce29a3e9f","1","CT","MDKvaExport","1.0.10.6.0.255","0","2"
"e21598ea-bfc9-435f-b944-b7623025b40b","1","CT","MDKvaExportDateTime","1.0.10.6.0.255","0","5"
"f8d03448-f412-423b-adbb-3910a98888b9","1","CT","MDKwExport","1.0.2.6.0.255","0","2"
"dafb4991-20ad-4bed-b6dd-de26d9b78f62","1","CT","MDKwExportDateTime","1.0.2.6.0.255","0","5"
"f70c0c4c-0309-43ad-aebd-57592a46744a","1","CT","Meter Serial Number","0.0.96.1.0.255","0","2"
"728cb184-72da-4256-a25d-9069d4540b2f","1","CT","NeutralCurrent","1.0.91.7.0.255","0","2"
"b7ac79cd-b5b3-4839-a19b-050f42d230a6","1","CT","NICCellIdentifier","0.128.96.0.13.255","0","2"
"a2fddd85-e225-45c4-a693-449030a0fd37","1","CT","NICSignalPower","0.128.96.0.4.255","0","2"
"49d5e389-dcf9-4ac8-8ee3-c481c6746b18","1","CT","NICSNR","0.128.96.0.11.255","0","2"
"7854914c-5240-4480-b804-9bee2cac4b42","1","CT","NVMStatus","1.0.96.6.0.255","0","2"
"c62f9f20-658e-4580-913b-a716cabc6f56","1","CT","PhaseSequence","1.0.128.7.0.255","0","2"
"71b5c8ec-ade7-4061-bd52-d3df9a48a13b","1","CT","PhaseSequenceFlag","0.0.96.102.0.2552","0","2"
"08e47413-05d4-4c5d-af38-4565adea90b6","1","CT","PowerFailureInAllThreePhases","0.0.96.7.0.255","1","2"
"d52546b9-544c-47f3-9538-b32dbcf9c293","1","CT","PrimaryBatteryStatus","1.0.96.7.0.255","0","2"
"ccbede8a-5ce5-4ba8-b5b2-f673bd729031","1","CT","ReactivePowerKva","1.0.3.7.0.255","1","2"
"63be896d-c315-4aab-85f8-d4680a7686dd","1","CT","RecentBillingDate","0.0.0.1.2.255","1","2"
"c6b2eb61-4770-4ebd-9485-90a45b5334e6","1","CT","Relay Status - B Phase","0.0.96.3.135.255","0","2"
"3a7f69aa-e488-48eb-932d-1d465c5388b1","1","CT","RelayStatusNeutral","0.0.96.3.136.255","0","2"
"7c746667-d38d-4956-8e54-6ce0b4096aea","1","CT","RPhaseCurrent","1.0.31.7.0.255","1","2"
"47e1ac70-727b-4252-825a-9a6329e5e95b","1","CT","RPhasePowerFactor","1.0.33.7.0.255","1","2"
"59f8f263-7189-4f39-bef0-79536ed8d09b","1","CT","RPhaseRelayStatus","0.0.96.3.133.255","0","2"
"20b7deb4-32f6-4eda-b7de-bd3568e308eb","1","CT","RPhaseVoltage","1.0.32.7.0.255","1","2"
"fd7d63f4-4d21-4a30-bbd8-6367222c1e76","1","CT","RTCBatteryStatus","1.0.96.8.0.255","0","2"
"48921b39-66d6-45dd-af85-cdbbb871d389","1","CT","RtcDateTime","0.0.1.0.0.255","1","2"
"b595c5cc-5d69-4228-8f13-21d41dd73bbd","1","CT","RTCStatus","1.0.96.5.0.255","0","2"
"562ee385-afc3-48d5-968a-446b969a341f","1","CT","SignedPowerFactor","1.0.13.7.0.255","1","2"
"632008d5-8f2a-4f9c-bc0b-69dfd399ded2","1","CT","SingleActionScheduleForBillingDate","0.0.15.0.0.255","0","2"
