"ProfileTemplateId","CommandTypeId","MeterCategory","ParameterName","TypeId","PayloadType","ProfileType","Profile","SerialNumber","Scalar","DataType","ProfileTemplateIdName","Details"
"0","3","3P","YPhasePowerFactor","1","1","INSTANT_DLMS_PUSH_3P","1","9","0","Float32","MSEDCL",""
"0","3","3P","ApparentPowerKva","1","2","INSTANT_CUSTOM_PUSH_3P","1","9","-3","UInt16","MSEDCL",""
"0","3","3P","BPhasePowerFactor","2","1","INSTANT_DLMS_PULL_3P","1","10","0","Float32","MSEDCL",""
"0","3","3P","BPhasePowerFactor","1","1","INSTANT_DLMS_PUSH_3P","1","10","0","Float32","MSEDCL",""
"0","3","3P","BPhasePowerFactor","2","2","INSTANT_CUSTOM_PULL_3P","1","10","-2","Int8","MSEDCL",""
"0","3","3P","ActivePowerKw","1","2","INSTANT_CUSTOM_PUSH_3P","1","10","-3","Int16","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhImport","1","2","INSTANT_CUSTOM_PUSH_3P","1","11","-3","UInt32","MSEDCL",""
"0","3","3P","SignedPowerFactor","2","1","INSTANT_DLMS_PULL_3P","1","11","0","Float32","MSEDCL",""
"0","3","3P","SignedPowerFactor","1","1","INSTANT_DLMS_PUSH_3P","1","11","0","Float32","MSEDCL",""
"0","3","3P","SignedPowerFactor","2","2","INSTANT_CUSTOM_PULL_3P","1","11","-2","Int8","MSEDCL",""
"0","3","3P","SupplyFrequency","2","1","INSTANT_DLMS_PULL_3P","1","12","0","Float32","MSEDCL",""
"0","3","3P","SupplyFrequency","2","2","INSTANT_CUSTOM_PULL_3P","1","12","-2","UInt16","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahImport","1","2","INSTANT_CUSTOM_PUSH_3P","1","12","-3","UInt32","MSEDCL",""
"0","3","3P","SupplyFrequency","1","1","INSTANT_DLMS_PUSH_3P","1","12","0","Float32","MSEDCL",""
"0","3","3P","ApparentPowerKva","2","2","INSTANT_CUSTOM_PULL_3P","1","13","-3","UInt16","MSEDCL",""
"0","3","3P","ApparentPowerKva","2","1","INSTANT_DLMS_PULL_3P","1","13","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhExport","1","2","INSTANT_CUSTOM_PUSH_3P","1","13","-3","UInt32","MSEDCL",""
"0","3","3P","ApparentPowerKva","1","1","INSTANT_DLMS_PUSH_3P","1","13","-3","Float32","MSEDCL",""
"0","3","3P","ActivePowerKw","1","1","INSTANT_DLMS_PUSH_3P","1","14","-3","Float32","MSEDCL",""
"0","3","3P","ActivePowerKw","2","2","INSTANT_CUSTOM_PULL_3P","1","14","-3","Int16","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahExport","1","2","INSTANT_CUSTOM_PUSH_3P","1","14","-3","UInt32","MSEDCL",""
"0","3","3P","ActivePowerKw","2","1","INSTANT_DLMS_PULL_3P","1","14","-3","Float32","MSEDCL",""
"0","3","3P","ReactivePowerKva","2","2","INSTANT_CUSTOM_PULL_3P","1","15","-3","Int16","MSEDCL",""
"0","3","3P","ReactivePowerKva","1","1","INSTANT_DLMS_PUSH_3P","1","15","-3","Float32","MSEDCL",""
"0","3","3P","ReactivePowerKva","2","1","INSTANT_DLMS_PULL_3P","1","15","-3","Float32","MSEDCL",""
"0","3","3P","PowerFailureInAllThreePhases","2","1","INSTANT_DLMS_PULL_3P","1","16","0","UInt32","MSEDCL",""
"0","3","3P","PowerFailureInAllThreePhases","1","1","INSTANT_DLMS_PUSH_3P","1","16","0","Int32","MSEDCL",""
"0","3","3P","PowerFailureInAllThreePhases","2","2","INSTANT_CUSTOM_PULL_3P","1","16","0","UInt16","MSEDCL",""
"0","3","3P","CumulativePowerOffDurationInMin","2","1","INSTANT_DLMS_PULL_3P","1","17","0","UInt32","MSEDCL",""
"0","3","3P","CumulativePowerOffDurationInMin","1","1","INSTANT_DLMS_PUSH_3P","1","17","0","Int32","MSEDCL",""
"0","3","3P","CumulativePowerOffDurationInMin","2","2","INSTANT_CUSTOM_PULL_3P","1","17","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeTemperCount","2","1","INSTANT_DLMS_PULL_3P","1","18","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeTemperCount","2","2","INSTANT_CUSTOM_PULL_3P","1","18","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeTemperCount","1","1","INSTANT_DLMS_PUSH_3P","1","18","0","Int32","MSEDCL",""
"0","3","3P","BillingPeriodCounter","2","1","INSTANT_DLMS_PULL_3P","1","19","0","UInt32","MSEDCL",""
"0","3","3P","BillingPeriodCounter","2","2","INSTANT_CUSTOM_PULL_3P","1","19","0","UInt32","MSEDCL",""
"0","3","3P","BillingPeriodCounter","1","1","INSTANT_DLMS_PUSH_3P","1","19","0","Int32","MSEDCL",""
"0","3","3P","CumulativeProgrammingCount","1","1","INSTANT_DLMS_PUSH_3P","1","20","0","Int32","MSEDCL",""
"0","3","3P","CumulativeProgrammingCount","2","1","INSTANT_DLMS_PULL_3P","1","20","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeProgrammingCount","2","2","INSTANT_CUSTOM_PULL_3P","1","20","0","UInt32","MSEDCL",""
"0","3","3P","RecentBillingDate","2","1","INSTANT_DLMS_PULL_3P","1","21","0","OctetString","MSEDCL",""
"0","3","3P","RecentBillingDate","1","1","INSTANT_DLMS_PUSH_3P","1","21","0","OctetString","MSEDCL",""
"0","3","3P","RecentBillingDate","2","2","INSTANT_CUSTOM_PULL_3P","1","21","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhImport","1","1","INSTANT_DLMS_PUSH_3P","1","22","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhImport","2","1","INSTANT_DLMS_PULL_3P","1","22","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhImport","2","2","INSTANT_CUSTOM_PULL_3P","1","22","-3","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhExport","2","2","INSTANT_CUSTOM_PULL_3P","1","23","-3","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhExport","2","1","INSTANT_DLMS_PULL_3P","1","23","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKwhExport","1","1","INSTANT_DLMS_PUSH_3P","1","23","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahImport","1","1","INSTANT_DLMS_PUSH_3P","1","24","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahImport","2","1","INSTANT_DLMS_PULL_3P","1","24","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahImport","2","2","INSTANT_CUSTOM_PULL_3P","1","24","-3","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahExport","2","1","INSTANT_DLMS_PULL_3P","1","25","-3","Float32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahExport","1","1","INSTANT_DLMS_PUSH_3P","1","25","0","UInt32","MSEDCL",""
"0","3","3P","CumulativeEnergyKvahExport","2","2","INSTANT_CUSTOM_PULL_3P","1","25","-3","UInt32","MSEDCL",""
"0","3","3P","MaximumDemandKw","1","1","INSTANT_DLMS_PUSH_3P","1","26","-3","Float32","MSEDCL",""
"0","3","3P","MaximumDemandKw","2","1","INSTANT_DLMS_PULL_3P","1","26","-3","Float32","MSEDCL",""
"0","3","3P","MaximumDemandKw","2","2","INSTANT_CUSTOM_PULL_3P","1","26","-3","UInt16","MSEDCL",""
"0","3","3P","MaximumDemandKwDateTime","2","2","INSTANT_CUSTOM_PULL_3P","1","27","0","UInt32","MSEDCL",""
"0","3","3P","MaximumDemandKwDateTime","1","1","INSTANT_DLMS_PUSH_3P","1","27","0","OctetString","MSEDCL",""
"0","3","3P","MaximumDemandKwDateTime","2","1","INSTANT_DLMS_PULL_3P","1","27","0","OctetString","MSEDCL",""
"0","3","3P","MaximumDemandKva","1","1","INSTANT_DLMS_PUSH_3P","1","28","-3","Float32","MSEDCL",""
"0","3","3P","MaximumDemandKva","2","1","INSTANT_DLMS_PULL_3P","1","28","-3","Float32","MSEDCL",""
"0","3","3P","MaximumDemandKva","2","2","INSTANT_CUSTOM_PULL_3P","1","28","-3","UInt16","MSEDCL",""
"0","3","3P","MaximumDemandKvaDateTime","2","2","INSTANT_CUSTOM_PULL_3P","1","29","0","UInt32","MSEDCL",""
"0","3","3P","MaximumDemandKvaDateTime","2","1","INSTANT_DLMS_PULL_3P","1","29","0","OctetString","MSEDCL",""
"0","3","3P","MaximumDemandKvaDateTime","1","1","INSTANT_DLMS_PUSH_3P","1","29","0","OctetString","MSEDCL",""
"0","3","3P","LoadLimitFunctionStatus","2","1","INSTANT_DLMS_PULL_3P","1","30","0","Boolean","MSEDCL",""
"0","3","3P","LoadLimitFunctionStatus","1","1","INSTANT_DLMS_PUSH_3P","1","30","0","Boolean","MSEDCL",""
"0","3","3P","LoadLimitFunctionStatus","2","2","INSTANT_CUSTOM_PULL_3P","1","30","0","UInt8","MSEDCL",""
"0","3","3P","LoadLimitValueKw","2","1","INSTANT_DLMS_PULL_3P","1","31","0","Float32","MSEDCL",""
"0","3","3P","LoadLimitValueKw","2","2","INSTANT_CUSTOM_PULL_3P","1","31","0","UInt32","MSEDCL",""
"0","3","3P","LoadLimitValueKw","1","1","INSTANT_DLMS_PUSH_3P","1","31","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ1","1","1","INSTANT_DLMS_PUSH_3P","1","32","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ1","2","2","INSTANT_CUSTOM_PULL_3P","1","32","-3","UInt32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ1","2","1","INSTANT_DLMS_PULL_3P","1","32","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ2","1","1","INSTANT_DLMS_PUSH_3P","1","33","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ2","2","2","INSTANT_CUSTOM_PULL_3P","1","33","-3","UInt32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ2","2","1","INSTANT_DLMS_PULL_3P","1","33","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ3","2","2","INSTANT_CUSTOM_PULL_3P","1","34","-3","UInt32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ3","1","1","INSTANT_DLMS_PUSH_3P","1","34","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ3","2","1","INSTANT_DLMS_PULL_3P","1","34","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ4","2","2","INSTANT_CUSTOM_PULL_3P","1","35","-3","UInt32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ4","2","1","INSTANT_DLMS_PULL_3P","1","35","-3","Float32","MSEDCL",""
"0","3","3P","SumLineReactivePowerQ4","1","1","INSTANT_DLMS_PUSH_3P","1","35","0","UInt32","MSEDCL",""
"0","3","CT","RtcDateTime","2","1","INSTANT_DLMS_PULL_CT","1","1","0","OctetString","MSEDCL",""
"0","3","CT","RtcDateTime","1","1","INSTANT_DLMS_PUSH_CT","1","1","0","OctetString","MSEDCL",""
"0","3","CT","RtcDateTime","2","2","INSTANT_CUSTOM_PULL_CT","1","1","0","DateTime","MSEDCL",""
"0","3","CT","RtcDateTime","1","2","INSTANT_CUSTOM_PUSH_CT","1","1","0","DateTime","MSEDCL",""
"0","3","CT","RPhaseCurrent","2","1","INSTANT_DLMS_PULL_CT","1","2","0","Float32","MSEDCL",""
